Date,Link,Message
2025-07-31 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7071065360231724778/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2024-05-19 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7111490537757816466/,This is exactly what we needed to hear. Sharing with my team.
2024-06-17 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7931768284188161600/,100%. AOV is a vanity metric if churn is high.
2025-03-05 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7872135410459879544/,The AI tools section is where I'm spending most of my time right now.
2025-09-12 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7070309471711714015/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2024-11-13 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7792135393525332200/,This is gold. Bookmarking for our next quarterly review.
2024-09-23 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7271676751345881457/,This is gold. Bookmarking for our next quarterly review.
2025-06-30 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7455178439640901109/,Great insights! We saw a similar lift when we rebuilt our post-purchase flows.
2024-12-04 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7922856408180729099/,The AI tools section is where I'm spending most of my time right now.
2024-06-08 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7715126219512074492/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2025-12-30 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7872979199642721558/,This is gold. Bookmarking for our next quarterly review.
2025-11-06 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7932091750493613812/,Would love to connect and learn more about your framework.
2025-12-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7488118025441824455/,This is exactly what we needed to hear. Sharing with my team.
2024-06-02 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7232797077673209482/,The repeat purchase rate point is underrated. Most brands ignore it completely.
