Date,Type,Link
2024-10-03 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7168237436990830411/
2026-04-16 00:00:00,PRAISE,https://www.linkedin.com/feed/update/urn:li:activity:7667706329992994136/
2025-03-01 00:00:00,PRAISE,https://www.linkedin.com/feed/update/urn:li:activity:7226193727448968997/
2025-05-30 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7656922581063773673/
2025-08-24 00:00:00,INTEREST,https://www.linkedin.com/feed/update/urn:li:activity:7754711595488569528/
2024-05-31 00:00:00,APPRECIATION,https://www.linkedin.com/feed/update/urn:li:activity:7880094875148626569/
2024-12-18 00:00:00,INTEREST,https://www.linkedin.com/feed/update/urn:li:activity:7193960188195693480/
2025-05-07 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7830464955581223531/
2024-10-20 00:00:00,INTEREST,https://www.linkedin.com/feed/update/urn:li:activity:7625041234287486164/
2024-07-14 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7038996136339519661/
2026-02-15 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7007360052514764273/
2025-03-06 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7727149494523724457/
2025-09-08 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7174125330201120923/
2026-04-23 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7525743345397904993/
2025-04-15 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7735251008764670756/
2024-06-19 00:00:00,INTEREST,https://www.linkedin.com/feed/update/urn:li:activity:7562457817425304512/
2026-04-16 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7636001723004949446/
2025-03-07 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7610376983830342178/
2025-07-25 00:00:00,PRAISE,https://www.linkedin.com/feed/update/urn:li:activity:7579015656622748942/
2024-05-18 00:00:00,EMPATHY,https://www.linkedin.com/feed/update/urn:li:activity:7206680603354392640/
2026-01-13 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7171667117769105194/
2025-08-29 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7606962431585547528/
2025-08-17 00:00:00,APPRECIATION,https://www.linkedin.com/feed/update/urn:li:activity:7916499189791155421/
2025-03-22 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7529188372597533068/
2024-10-01 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7803858744935967091/
2025-09-13 00:00:00,PRAISE,https://www.linkedin.com/feed/update/urn:li:activity:7954690573352917530/
2026-02-09 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7467254062378624545/
2025-04-09 00:00:00,EMPATHY,https://www.linkedin.com/feed/update/urn:li:activity:7548796518136403826/
2026-03-06 00:00:00,LIKE,https://www.linkedin.com/feed/update/urn:li:activity:7197591811717179633/
